card_id,player_class,type,name,set,text,cost,attack,health,rarity,collectible,flavor,race,how_to_earn,how_to_earn_golden,targeting_arrow_text,faction,durability
TB_MechWar_Minion1,NEUTRAL,MINION,Mech Fan,TB,<b>Taunt</b>,2.0,1.0,1.0,,,,,,,,,
GVG_056t,WARRIOR,SPELL,Burrowing Mine,GVG,"When you draw this, it explodes. You take 10 damage and draw a card.",0.0,,,,,,,,,,,
OG_080de,NEUTRAL,ENCHANTMENT,Fadeleaf,OG,Stealthed until your next turn.,,,,,,,,,,,,
NEW1_027e,NEUTRAL,ENCHANTMENT,Yarrr!,EXPERT1,Southsea Captain is granting +1/+1.,,,,,,,,,,,,
NAX13_04H,NEUTRAL,MINION,Feugen,NAXX,,5.0,4.0,7.0,LEGENDARY,,,,,,,,
XXX_099,NEUTRAL,MINION,AI Helper Buddy,CHEAT,Get the AI ready for testing.,0.0,1.0,1.0,,,,,,,,,
TB_CoOpv3_104e,NEUTRAL,ENCHANTMENT,Unity,TB,+2/+2,,,,,,,,,,,,
GVG_115,NEUTRAL,MINION,Toshley,GVG,<b>Battlecry and Deathrattle:</b> Add a <b>Spare Part</b> card to your hand.,6.0,5.0,7.0,LEGENDARY,1.0,Something about power converters.,,,,,,
CFM_602,DRUID,SPELL,Jade Idol,GANGS,<b>Choose One -</b> Summon a{1} {0} <b>Jade Golem</b>; or Shuffle 3 copies of this card into your deck.,1.0,,,RARE,1.0,Shuffle or no guts.,,,,,,
CS2_141,NEUTRAL,MINION,Ironforge Rifleman,CORE,<b>Battlecry:</b> Deal 1 damage.,3.0,2.0,2.0,COMMON,1.0,"""Ready! Aim! Drink!""",,,Unlocked at Mage Level 55.,Deal 1 damage.,ALLIANCE,
BRMA12_4H,NEUTRAL,SPELL,Brood Affliction: Green,BRM,"While this is in your hand, restore 6 health to your opponent at the start of your turn.",3.0,,,,,,,,,,,
CFM_312,SHAMAN,MINION,Jade Chieftain,GANGS,<b>Battlecry:</b> Summon a{1} {0} <b>Jade Golem</b>. Give it <b>Taunt</b>.,7.0,5.0,5.0,COMMON,1.0,"Seeing his Jade Golem grow up into the tall, handsome 6/6 standing before him was the proudest moment of his life.",,,,,,
NAX12_01,NEUTRAL,HERO,Gluth,NAXX,,,,30.0,,,,,,,,,
CS2_063,WARLOCK,SPELL,Corruption,CORE,"Choose an enemy minion. At the start of your turn, destroy it.",1.0,,,COMMON,1.0,"It starts with stealing a pen from work, and before you know it, BOOM!  Corrupted!",,Unlocked at Level 2.,Unlocked at Level 32.,,,
AT_132_WARLOCK,WARLOCK,HERO_POWER,Soul Tap,TGT,"<b>Hero Power</b>
Draw a card.",2.0,,,,,,,,,,,
LOEA09_6H,NEUTRAL,MINION,Slithering Archer,LOE,<b>Battlecry:</b> Deal 2 damage to all enemy minions.,2.0,2.0,2.0,,,,,,,,,
EX1_383,PALADIN,MINION,Tirion Fordring,EXPERT1,<b>Divine Shield</b>. <b>Taunt</b>. <b>Deathrattle:</b> Equip a 5/3 Ashbringer.,8.0,6.0,6.0,LEGENDARY,1.0,"If you haven't heard the Tirion Fordring theme song, it's because it doesn't exist.",,,,,,
LOEA07_12,NEUTRAL,MINION,Earthen Pursuer,LOE,,5.0,4.0,6.0,,,,,,,,,
CFM_755,WARRIOR,MINION,Grimestreet Pawnbroker,GANGS,<b>Battlecry:</b> Give a random weapon in your hand +1/+1.,3.0,3.0,3.0,RARE,1.0,"""I don't know a lot about used GvG cards, so I'm going to have to call in an expert.""",,,,,,
AT_077,PALADIN,WEAPON,Argent Lance,TGT,"<b>Battlecry:</b> Reveal a minion in each deck. If yours costs more, +1 Durability.",2.0,2.0,,RARE,1.0,"The stripes make it look like a candy cane, but we recommend against licking it.",,,,,,2.0
LOEA04_01h,NEUTRAL,HERO,Temple Escape,LOE,,,,100.0,,,,,,,,,
GVG_055e,WARRIOR,ENCHANTMENT,Screwy Jank,GVG,+2/+2.,,,,,,,,,,,,
NAX9_05H,NEUTRAL,WEAPON,Runeblade,NAXX,Has +6 Attack if the other Horsemen are dead.,3.0,2.0,,,,,,,,,,3.0
EX1_366,PALADIN,WEAPON,Sword of Justice,EXPERT1,"After you summon a minion, give it +1/+1 and this loses 1 Durability.",3.0,1.0,,EPIC,1.0,I dub you Sir Loin of Beef!,,,,,,5.0
KAR_A02_09e,NEUTRAL,ENCHANTMENT,Table Set,KARA,+1/+1.,,,,,,,,,,,,
AT_085,NEUTRAL,MINION,Maiden of the Lake,TGT,Your Hero Power costs (1).,4.0,2.0,6.0,COMMON,1.0,Not a good basis for a system of government.,,,,,,
EX1_614t,NEUTRAL,MINION,Flame of Azzinoth,EXPERT1,,1.0,2.0,1.0,,,,,,,,,
TBST_006,NEUTRAL,ENCHANTMENT,OLDTBST Push Common Card,TB,push a common card into player's hand,,,,,,,,,,,,
TB_GiftExchange_Snowball,NEUTRAL,SPELL,Hardpacked Snowballs,TB,Return 3 random enemy minions to your opponent's hand.,0.0,,,,,,,,,,,
EX1_tk34,WARLOCK,MINION,Infernal,EXPERT1,,6.0,6.0,6.0,COMMON,,,DEMON,,,,,
TB_006e,NEUTRAL,ENCHANTMENT,Big Banana,TB,Has +2/+2.,,,,,,,,,,,,
LOEA16_22,NEUTRAL,MINION,Archaedas,LOE,"At the end of your turn, turn a random enemy minion into a 0/2 Statue.",5.0,5.0,5.0,LEGENDARY,,,,,,,,
TB_014,NEUTRAL,SPELL,Choose a New Card!,TB,Look at 3 random cards. Choose one and put it into your hand.,0.0,,,,,,,,,,,
CS2_064,WARLOCK,MINION,Dread Infernal,CORE,<b>Battlecry:</b> Deal 1 damage to ALL other characters.,6.0,6.0,6.0,COMMON,1.0,"""INFERNOOOOOOOOOO!"" - Jaraxxus, Eredar Lord of the Burning Legion",DEMON,Unlocked at Level 10.,Unlocked at Level 23.,,,
EX1_613e,ROGUE,ENCHANTMENT,VanCleef's Vengeance,EXPERT1,Increased stats.,,,,,,,,,,,,
TB_006,NEUTRAL,SPELL,Big Banana,TB,Give a minion +2/+2.,1.0,,,,,,,,,,,
LOEA09_11,NEUTRAL,MINION,Hungry Naga,LOE,,3.0,1.0,1.0,,,,,,,,,
CS2_213,NEUTRAL,MINION,Reckless Rocketeer,CORE,<b>Charge</b>,6.0,5.0,2.0,FREE,1.0,One Insane Rocketeer.   One Rocket full of Explosives.   Infinite Fun.,,,Unlocked at Shaman Level 59.,,HORDE,
KAR_A10_04,NEUTRAL,MINION,White Rook,KARA,<b>Auto-Attack:</b> Deal 2 damage to the enemies opposite this minion.,3.0,2.0,6.0,,,,,,,,,
KARA_09_01,NEUTRAL,HERO,Terestian Illhoof,KARA,,,,30.0,,,,,,,,,
FP1_014t,NEUTRAL,MINION,Thaddius,NAXX,,10.0,11.0,11.0,LEGENDARY,,,,,,,,
CS2_062,WARLOCK,SPELL,Hellfire,CORE,Deal $3 damage to ALL characters.,4.0,,,FREE,1.0,It's spells like these that make it hard for Warlocks to get decent help.,,Unlocked at Level 1.,Unlocked at Level 49.,,,
CRED_37,NEUTRAL,MINION,Ricardo Robaina,CREDITS,<b>Battlecry:</b> Summon three 1/1 Chinchillas.,4.0,3.0,4.0,LEGENDARY,,,,,,,,
CFM_671e,NEUTRAL,ENCHANTMENT,We All Scream,GANGS,+2/+2.,,,,,,,,,,,,
OG_241a,WARLOCK,MINION,Shadowbeast,OG,,1.0,1.0,1.0,,,,,,,,,
CFM_712_t04,NEUTRAL,MINION,Jade Golem,GANGS,,4.0,4.0,4.0,,,,,,,,,
CFM_621t21,NEUTRAL,SPELL,Mystic Wool,GANGS,Transform a random enemy minion into a 1/1 Sheep.,5.0,,,,,,,,,,,
CFM_602a,DRUID,SPELL,Jade Idol,GANGS,Summon a{1} {0} <b>Jade Golem</b>.,0.0,,,,,,,,,,,
AT_019,WARLOCK,MINION,Dreadsteed,TGT,<b>Deathrattle:</b> Summon a Dreadsteed.,4.0,1.0,1.0,EPIC,1.0,"Crescendo himself summoned this steed, riding it to victory in the Grand Tournament.  Wherever he rides, an army of riders ride behind him, supporting the legendary champion.",DEMON,,,,,
EX1_162,NEUTRAL,MINION,Dire Wolf Alpha,EXPERT1,Adjacent minions have +1 Attack.,2.0,2.0,2.0,COMMON,1.0,"We are pretty excited about the upcoming release of Dire Wolf Beta, just repost this sign for a chance at a key.",BEAST,,,,,
CFM_751,WARLOCK,MINION,Abyssal Enforcer,GANGS,<b>Battlecry:</b> Deal 3 damage to all other characters.,7.0,6.0,6.0,COMMON,1.0,The Kabal print this on every package of illicit Mana Crystals: WARNING - DO NOT PUT WITHIN REACH OF ABYSSALS. THIS IS NOT APPROVED FOR USE BY FLAMING DEMONS OF ANY KIND.,DEMON,,,,,
TU4a_001,NEUTRAL,HERO,Hogger,MISSIONS,,,,10.0,COMMON,,,,,,,,
BRM_005,WARLOCK,SPELL,Demonwrath,BRM,Deal $2 damage to all non-Demon minions.,3.0,,,RARE,1.0,Demons are not angry most of the time. You have to play this card in order to really bring it out of them.,,"Unlocked in Blackwing Lair, in the Blackrock Mountain adventure.","Crafting unlocked in Blackwing Lair, in the Blackrock Mountain adventure.",,,
CFM_336e,NEUTRAL,ENCHANTMENT,Smuggling,GANGS,+2/+2 from Shaky Zipgunner.,,,,,,,,,,,,
LOEA02_06,NEUTRAL,SPELL,Wish for More Wishes,LOE,Gain 2 Wishes.,0.0,,,,,,,,,,,
OG_200e,NEUTRAL,ENCHANTMENT,Doom Free,OG,Attack set to 7.,,,,,,,,,,,,
GVG_051,WARRIOR,MINION,Warbot,GVG,<b>Enrage:</b> +1 Attack.,1.0,1.0,3.0,COMMON,1.0,"Mass production of warbots was halted when it was discovered that they were accidentally being produced at ""sample size.""",MECHANICAL,,,,,
EX1_165t2,DRUID,MINION,Druid of the Claw,EXPERT1,<b>Taunt</b>,5.0,4.0,6.0,COMMON,,,BEAST,,,,,
GVG_068,NEUTRAL,MINION,Burly Rockjaw Trogg,GVG,"Whenever your opponent casts a spell, gain +2 Attack.",4.0,3.0,5.0,COMMON,1.0,He's burly because he does CrossFit.,,,,,,
BRMC_90,NEUTRAL,MINION,Living Lava,TB,<b>Taunt</b>,2.0,6.0,6.0,,,,,,,,,
skele21,NEUTRAL,MINION,Damaged Golem,EXPERT1,,1.0,2.0,1.0,COMMON,,,MECHANICAL,,,,,
TB_ClassRandom_Priest,PRIEST,SPELL,Second Class: Priest,TB,Add Priest cards to your deck.,0.0,,,,,,,,,,,
LOEA09_3a,NEUTRAL,ENCHANTMENT,Famished,LOE,Quite Hungry.,,,,,,,,,,,,
CFM_308a,DRUID,SPELL,Forgotten Armor,GANGS,Gain 10 Armor.,0.0,,,,,,,,,,,
OG_138,NEUTRAL,MINION,Nerubian Prophet,OG,"At the start of your turn, reduce this card's
Cost by (1).",6.0,4.0,4.0,COMMON,1.0,It’s a self-reducing prophecy.,,,,,,
BRMC_97e,NEUTRAL,ENCHANTMENT,Burning Adrenaline,TB,Costs (2) less.,,,,,,,,,,,,
KAR_A01_02,NEUTRAL,HERO_POWER,Reflections,KARA,"<b>Passive Hero Power</b>
Whenever a minion is played, summon a 1/1 copy of it.",0.0,,,,,,,,,,,
LOEA06_04h,NEUTRAL,SPELL,Shattering Spree,LOE,"Destroy all Statues. For each destroyed, deal 3 damage.",2.0,,,,,,,,,,,
GVG_106,NEUTRAL,MINION,Junkbot,GVG,"Whenever a friendly Mech dies, gain +2/+2.",5.0,1.0,5.0,EPIC,1.0,One bot's junk is another bot's AWESOME UPGRADE!,MECHANICAL,,,,,
XXX_109,NEUTRAL,MINION,Illidan Stormrage Cheat,CHEAT,"Whenever you play a card, deal 1 damage to all minions.",0.0,7.0,5.0,COMMON,,,DEMON,,,,,
EX1_556,NEUTRAL,MINION,Harvest Golem,EXPERT1,<b>Deathrattle:</b> Summon a 2/1 Damaged Golem.,3.0,2.0,3.0,COMMON,1.0,"""Overheat threshold exceeded. System failure. Wheat clog in port two. Shutting down.""",MECHANICAL,,,,,
NAX2_03,NEUTRAL,HERO_POWER,Rain of Fire,NAXX,"<b>Hero Power</b>
Fire a missile for each card in your opponent's hand.",2.0,,,,,,,,,,,
NAX8_04,NEUTRAL,MINION,Unrelenting Warrior,NAXX,<b>Deathrattle:</b> Summon a Spectral Warrior for your opponent.,3.0,3.0,4.0,,,,,,,,,
EX1_334e,PRIEST,ENCHANTMENT,Shadow Madness,EXPERT1,This minion has switched controllers this turn.,,,,,,,,,,,,
AT_087,NEUTRAL,MINION,Argent Horserider,TGT,"<b>Charge</b>
<b>Divine Shield</b>",3.0,2.0,1.0,COMMON,1.0,His horse's name is Betsy.,,,,,,
XXX_029,NEUTRAL,SPELL,Opponent Concede,CHEAT,Force your opponent to concede.,0.0,,,,,,,,,,,
CFM_325,NEUTRAL,MINION,Small-Time Buccaneer,GANGS,Has +2 Attack while you have a weapon equipped.,1.0,1.0,2.0,RARE,1.0,"""Oh, I'm not serious about it.  I only pirate on the weekends.""",PIRATE,,,,,
LOEA09_5H,NEUTRAL,MINION,Hungry Naga,LOE,,3.0,3.0,3.0,,,,,,,,,
CS2_092,PALADIN,SPELL,Blessing of Kings,CORE,Give a minion +4/+4. <i>(+4 Attack/+4 Health)</i>,4.0,,,COMMON,1.0,"Given the number of kings who have been assassinated, are you sure you want their blessing?",,Unlocked at Level 10.,Unlocked at Level 49.,,,
