card_id,action,cost
GVG_072,DISENCHANT_NORMAL,20
GVG_072,DISENCHANT_GOLDEN,100
OG_145,CRAFTING_NORMAL,40
OG_145,CRAFTING_GOLDEN,400
OG_145,DISENCHANT_NORMAL,5
OG_145,DISENCHANT_GOLDEN,50
OG_313,CRAFTING_NORMAL,100
OG_313,CRAFTING_GOLDEN,800
OG_313,DISENCHANT_NORMAL,20
OG_313,DISENCHANT_GOLDEN,100
AT_090,CRAFTING_NORMAL,40
AT_090,CRAFTING_GOLDEN,400
AT_090,DISENCHANT_NORMAL,5
AT_090,DISENCHANT_GOLDEN,50
KAR_035,CRAFTING_NORMAL,40
KAR_035,CRAFTING_GOLDEN,400
KAR_035,DISENCHANT_NORMAL,5
KAR_035,DISENCHANT_GOLDEN,50
AT_060,CRAFTING_NORMAL,40
AT_060,CRAFTING_GOLDEN,400
AT_060,DISENCHANT_NORMAL,5
AT_060,DISENCHANT_GOLDEN,50
NAX13_04H,CRAFTING_NORMAL,1600
NAX13_04H,CRAFTING_GOLDEN,3200
NAX13_04H,DISENCHANT_NORMAL,400
NAX13_04H,DISENCHANT_GOLDEN,1600
GVG_115,CRAFTING_NORMAL,1600
GVG_115,CRAFTING_GOLDEN,3200
GVG_115,DISENCHANT_NORMAL,400
GVG_115,DISENCHANT_GOLDEN,1600
CFM_602,CRAFTING_NORMAL,100
CFM_602,CRAFTING_GOLDEN,800
CFM_602,DISENCHANT_NORMAL,20
CFM_602,DISENCHANT_GOLDEN,100
CFM_312,CRAFTING_NORMAL,40
CFM_312,CRAFTING_GOLDEN,400
CFM_312,DISENCHANT_NORMAL,5
CFM_312,DISENCHANT_GOLDEN,50
EX1_383,CRAFTING_NORMAL,1600
EX1_383,CRAFTING_GOLDEN,3200
EX1_383,DISENCHANT_NORMAL,400
EX1_383,DISENCHANT_GOLDEN,1600
CFM_755,CRAFTING_NORMAL,100
CFM_755,CRAFTING_GOLDEN,800
CFM_755,DISENCHANT_NORMAL,20
CFM_755,DISENCHANT_GOLDEN,100
AT_077,CRAFTING_NORMAL,100
AT_077,CRAFTING_GOLDEN,800
AT_077,DISENCHANT_NORMAL,20
AT_077,DISENCHANT_GOLDEN,100
EX1_366,CRAFTING_NORMAL,400
EX1_366,CRAFTING_GOLDEN,1600
EX1_366,DISENCHANT_NORMAL,100
EX1_366,DISENCHANT_GOLDEN,400
AT_085,CRAFTING_NORMAL,40
AT_085,CRAFTING_GOLDEN,400
AT_085,DISENCHANT_NORMAL,5
AT_085,DISENCHANT_GOLDEN,50
EX1_tk34,CRAFTING_NORMAL,40
EX1_tk34,CRAFTING_GOLDEN,400
EX1_tk34,DISENCHANT_NORMAL,5
EX1_tk34,DISENCHANT_GOLDEN,50
LOEA16_22,CRAFTING_NORMAL,1600
LOEA16_22,CRAFTING_GOLDEN,3200
LOEA16_22,DISENCHANT_NORMAL,400
LOEA16_22,DISENCHANT_GOLDEN,1600
FP1_014t,CRAFTING_NORMAL,1600
FP1_014t,CRAFTING_GOLDEN,3200
FP1_014t,DISENCHANT_NORMAL,400
FP1_014t,DISENCHANT_GOLDEN,1600
AT_019,CRAFTING_NORMAL,400
AT_019,CRAFTING_GOLDEN,1600
AT_019,DISENCHANT_NORMAL,100
AT_019,DISENCHANT_GOLDEN,400
EX1_162,CRAFTING_NORMAL,40
EX1_162,CRAFTING_GOLDEN,400
EX1_162,DISENCHANT_NORMAL,5
EX1_162,DISENCHANT_GOLDEN,50
CFM_751,CRAFTING_NORMAL,40
CFM_751,CRAFTING_GOLDEN,400
CFM_751,DISENCHANT_NORMAL,5
CFM_751,DISENCHANT_GOLDEN,50
BRM_005,CRAFTING_NORMAL,100
BRM_005,CRAFTING_GOLDEN,800
BRM_005,DISENCHANT_NORMAL,20
BRM_005,DISENCHANT_GOLDEN,100
GVG_051,CRAFTING_NORMAL,40
GVG_051,CRAFTING_GOLDEN,400
GVG_051,DISENCHANT_NORMAL,5
GVG_051,DISENCHANT_GOLDEN,50
EX1_165t2,CRAFTING_NORMAL,40
EX1_165t2,CRAFTING_GOLDEN,400
EX1_165t2,DISENCHANT_NORMAL,5
EX1_165t2,DISENCHANT_GOLDEN,50
GVG_068,CRAFTING_NORMAL,40
GVG_068,CRAFTING_GOLDEN,400
GVG_068,DISENCHANT_NORMAL,5
GVG_068,DISENCHANT_GOLDEN,50
skele21,CRAFTING_NORMAL,40
skele21,CRAFTING_GOLDEN,400
skele21,DISENCHANT_NORMAL,5
skele21,DISENCHANT_GOLDEN,50
OG_138,CRAFTING_NORMAL,40
OG_138,CRAFTING_GOLDEN,400
OG_138,DISENCHANT_NORMAL,5
OG_138,DISENCHANT_GOLDEN,50
GVG_106,CRAFTING_NORMAL,400
GVG_106,CRAFTING_GOLDEN,1600
GVG_106,DISENCHANT_NORMAL,100
GVG_106,DISENCHANT_GOLDEN,400
EX1_556,CRAFTING_NORMAL,40
EX1_556,CRAFTING_GOLDEN,400
EX1_556,DISENCHANT_NORMAL,5
EX1_556,DISENCHANT_GOLDEN,50
AT_087,CRAFTING_NORMAL,40
AT_087,CRAFTING_GOLDEN,400
AT_087,DISENCHANT_NORMAL,5
AT_087,DISENCHANT_GOLDEN,50
CFM_325,CRAFTING_NORMAL,100
CFM_325,CRAFTING_GOLDEN,800
CFM_325,DISENCHANT_NORMAL,20
CFM_325,DISENCHANT_GOLDEN,100
LOEA16_23,CRAFTING_NORMAL,1600
LOEA16_23,CRAFTING_GOLDEN,3200
LOEA16_23,DISENCHANT_NORMAL,400
LOEA16_23,DISENCHANT_GOLDEN,1600
OG_256,CRAFTING_NORMAL,40
OG_256,CRAFTING_GOLDEN,400
OG_256,DISENCHANT_NORMAL,5
OG_256,DISENCHANT_GOLDEN,50
EX1_407,CRAFTING_NORMAL,400
EX1_407,CRAFTING_GOLDEN,1600
EX1_407,DISENCHANT_NORMAL,100
EX1_407,DISENCHANT_GOLDEN,400
AT_051,CRAFTING_NORMAL,400
AT_051,CRAFTING_GOLDEN,1600
AT_051,DISENCHANT_NORMAL,100
AT_051,DISENCHANT_GOLDEN,400
OG_045,CRAFTING_NORMAL,100
OG_045,CRAFTING_GOLDEN,800
OG_045,DISENCHANT_NORMAL,20
OG_045,DISENCHANT_GOLDEN,100
EX1_571,CRAFTING_NORMAL,400
EX1_571,CRAFTING_GOLDEN,1600
EX1_571,DISENCHANT_NORMAL,100
EX1_571,DISENCHANT_GOLDEN,400
EX1_561,CRAFTING_NORMAL,1600
EX1_561,CRAFTING_GOLDEN,3200
EX1_561,DISENCHANT_NORMAL,400
EX1_561,DISENCHANT_GOLDEN,1600
OG_134,CRAFTING_NORMAL,1600
OG_134,CRAFTING_GOLDEN,3200
OG_134,DISENCHANT_NORMAL,400
OG_134,DISENCHANT_GOLDEN,1600
OG_206,CRAFTING_NORMAL,40
OG_206,CRAFTING_GOLDEN,400
OG_206,DISENCHANT_NORMAL,5
OG_206,DISENCHANT_GOLDEN,50
NEW1_017,CRAFTING_NORMAL,400
NEW1_017,CRAFTING_GOLDEN,1600
NEW1_017,DISENCHANT_NORMAL,100
NEW1_017,DISENCHANT_GOLDEN,400
CFM_337,CRAFTING_NORMAL,400
CFM_337,CRAFTING_GOLDEN,1600
CFM_337,DISENCHANT_NORMAL,100
CFM_337,DISENCHANT_GOLDEN,400
LOE_019,CRAFTING_NORMAL,100
LOE_019,CRAFTING_GOLDEN,800
LOE_019,DISENCHANT_NORMAL,20
LOE_019,DISENCHANT_GOLDEN,100
GVG_060,CRAFTING_NORMAL,400
GVG_060,CRAFTING_GOLDEN,1600
GVG_060,DISENCHANT_NORMAL,100
GVG_060,DISENCHANT_GOLDEN,400
CFM_694,CRAFTING_NORMAL,100
CFM_694,CRAFTING_GOLDEN,800
CFM_694,DISENCHANT_NORMAL,20
CFM_694,DISENCHANT_GOLDEN,100
EX1_283,CRAFTING_NORMAL,40
EX1_283,CRAFTING_GOLDEN,400
EX1_283,DISENCHANT_NORMAL,5
EX1_283,DISENCHANT_GOLDEN,50
GVG_121,CRAFTING_NORMAL,400
GVG_121,CRAFTING_GOLDEN,1600
GVG_121,DISENCHANT_NORMAL,100
GVG_121,DISENCHANT_GOLDEN,400
NEW1_014,CRAFTING_NORMAL,100
NEW1_014,CRAFTING_GOLDEN,800
NEW1_014,DISENCHANT_NORMAL,20
NEW1_014,DISENCHANT_GOLDEN,100
LOE_027,CRAFTING_NORMAL,40
LOE_027,CRAFTING_GOLDEN,400
LOE_027,DISENCHANT_NORMAL,5
LOE_027,DISENCHANT_GOLDEN,50
LOE_086,CRAFTING_NORMAL,100
LOE_086,CRAFTING_GOLDEN,800
LOE_086,DISENCHANT_NORMAL,20
LOE_086,DISENCHANT_GOLDEN,100
FP1_022,CRAFTING_NORMAL,40
FP1_022,CRAFTING_GOLDEN,400
FP1_022,DISENCHANT_NORMAL,5
FP1_022,DISENCHANT_GOLDEN,50
AT_129,CRAFTING_NORMAL,1600
AT_129,CRAFTING_GOLDEN,3200
AT_129,DISENCHANT_NORMAL,400
AT_129,DISENCHANT_GOLDEN,1600
CFM_336,CRAFTING_NORMAL,40
CFM_336,CRAFTING_GOLDEN,400
CFM_336,DISENCHANT_NORMAL,5
CFM_336,DISENCHANT_GOLDEN,50
AT_028,CRAFTING_NORMAL,40
AT_028,CRAFTING_GOLDEN,400
AT_028,DISENCHANT_NORMAL,5
AT_028,DISENCHANT_GOLDEN,50
OG_221,CRAFTING_NORMAL,100
OG_221,CRAFTING_GOLDEN,800
OG_221,DISENCHANT_NORMAL,20
OG_221,DISENCHANT_GOLDEN,100
FP1_030,CRAFTING_NORMAL,1600
FP1_030,CRAFTING_GOLDEN,3200
FP1_030,DISENCHANT_NORMAL,400
FP1_030,DISENCHANT_GOLDEN,1600
GVG_103,CRAFTING_NORMAL,40
GVG_103,CRAFTING_GOLDEN,400
GVG_103,DISENCHANT_NORMAL,5
GVG_103,DISENCHANT_GOLDEN,50
LOE_092,CRAFTING_NORMAL,1600
LOE_092,CRAFTING_GOLDEN,3200
LOE_092,DISENCHANT_NORMAL,400
LOE_092,DISENCHANT_GOLDEN,1600
AT_030,CRAFTING_NORMAL,40
AT_030,CRAFTING_GOLDEN,400
AT_030,DISENCHANT_NORMAL,5
AT_030,DISENCHANT_GOLDEN,50
GVG_061,CRAFTING_NORMAL,100
GVG_061,CRAFTING_GOLDEN,800
GVG_061,DISENCHANT_NORMAL,20
GVG_061,DISENCHANT_GOLDEN,100
EX1_005,CRAFTING_NORMAL,400
EX1_005,CRAFTING_GOLDEN,1600
EX1_005,DISENCHANT_NORMAL,100
EX1_005,DISENCHANT_GOLDEN,400
AT_118,CRAFTING_NORMAL,400
AT_118,CRAFTING_GOLDEN,1600
AT_118,DISENCHANT_NORMAL,100
AT_118,DISENCHANT_GOLDEN,400
AT_111,CRAFTING_NORMAL,40
AT_111,CRAFTING_GOLDEN,400
AT_111,DISENCHANT_NORMAL,5
AT_111,DISENCHANT_GOLDEN,50
EX1_317,CRAFTING_NORMAL,40
EX1_317,CRAFTING_GOLDEN,400
EX1_317,DISENCHANT_NORMAL,5
EX1_317,DISENCHANT_GOLDEN,50
LOEA16_19H,CRAFTING_NORMAL,1600
LOEA16_19H,CRAFTING_GOLDEN,3200
LOEA16_19H,DISENCHANT_NORMAL,400
LOEA16_19H,DISENCHANT_GOLDEN,1600
AT_026,CRAFTING_NORMAL,40
AT_026,CRAFTING_GOLDEN,400
AT_026,DISENCHANT_NORMAL,5
AT_026,DISENCHANT_GOLDEN,50
GVG_044,CRAFTING_NORMAL,40
GVG_044,CRAFTING_GOLDEN,400
GVG_044,DISENCHANT_NORMAL,5
GVG_044,DISENCHANT_GOLDEN,50
CFM_670,CRAFTING_NORMAL,1600
CFM_670,CRAFTING_GOLDEN,3200
CFM_670,DISENCHANT_NORMAL,400
CFM_670,DISENCHANT_GOLDEN,1600
EX1_250,CRAFTING_NORMAL,400
EX1_250,CRAFTING_GOLDEN,1600
EX1_250,DISENCHANT_NORMAL,100
EX1_250,DISENCHANT_GOLDEN,400
EX1_341,CRAFTING_NORMAL,100
EX1_341,CRAFTING_GOLDEN,800
EX1_341,DISENCHANT_NORMAL,20
EX1_341,DISENCHANT_GOLDEN,100
OG_156a,CRAFTING_NORMAL,40
OG_156a,CRAFTING_GOLDEN,400
OG_156a,DISENCHANT_NORMAL,5
OG_156a,DISENCHANT_GOLDEN,50
EX1_619,CRAFTING_NORMAL,100
EX1_619,CRAFTING_GOLDEN,800
EX1_619,DISENCHANT_NORMAL,20
EX1_619,DISENCHANT_GOLDEN,100
AT_113,CRAFTING_NORMAL,400
AT_113,CRAFTING_GOLDEN,1600
AT_113,DISENCHANT_NORMAL,100
AT_113,DISENCHANT_GOLDEN,400
CFM_603,CRAFTING_NORMAL,40
CFM_603,CRAFTING_GOLDEN,400
CFM_603,DISENCHANT_NORMAL,5
CFM_603,DISENCHANT_GOLDEN,50
EX1_058,CRAFTING_NORMAL,100
EX1_058,CRAFTING_GOLDEN,800
EX1_058,DISENCHANT_NORMAL,20
EX1_058,DISENCHANT_GOLDEN,100
GVG_099,CRAFTING_NORMAL,100
GVG_099,CRAFTING_GOLDEN,800
GVG_099,DISENCHANT_NORMAL,20
GVG_099,DISENCHANT_GOLDEN,100
OG_195c,CRAFTING_NORMAL,40
OG_195c,CRAFTING_GOLDEN,400
OG_195c,DISENCHANT_NORMAL,5
OG_195c,DISENCHANT_GOLDEN,50
OG_047a,CRAFTING_NORMAL,40
OG_047a,CRAFTING_GOLDEN,400
OG_047a,DISENCHANT_NORMAL,5
OG_047a,DISENCHANT_GOLDEN,50
OG_234,CRAFTING_NORMAL,40
OG_234,CRAFTING_GOLDEN,400
OG_234,DISENCHANT_NORMAL,5
OG_234,DISENCHANT_GOLDEN,50
GVG_055,CRAFTING_NORMAL,100
GVG_055,CRAFTING_GOLDEN,800
GVG_055,DISENCHANT_NORMAL,20
GVG_055,DISENCHANT_GOLDEN,100
EX1_247,CRAFTING_NORMAL,40
EX1_247,CRAFTING_GOLDEN,400
EX1_247,DISENCHANT_NORMAL,5
EX1_247,DISENCHANT_GOLDEN,50
OG_083,CRAFTING_NORMAL,40
OG_083,CRAFTING_GOLDEN,400
OG_083,DISENCHANT_NORMAL,5
OG_083,DISENCHANT_GOLDEN,50
EX1_243,CRAFTING_NORMAL,40
EX1_243,CRAFTING_GOLDEN,400
EX1_243,DISENCHANT_NORMAL,5
EX1_243,DISENCHANT_GOLDEN,50
CFM_717,CRAFTING_NORMAL,100
CFM_717,CRAFTING_GOLDEN,800
CFM_717,DISENCHANT_NORMAL,20
CFM_717,DISENCHANT_GOLDEN,100
EX1_083,CRAFTING_NORMAL,1600
EX1_083,CRAFTING_GOLDEN,3200
EX1_083,DISENCHANT_NORMAL,400
EX1_083,DISENCHANT_GOLDEN,1600
OG_202,CRAFTING_NORMAL,100
OG_202,CRAFTING_GOLDEN,800
OG_202,DISENCHANT_NORMAL,20
OG_202,DISENCHANT_GOLDEN,100
CFM_609,CRAFTING_NORMAL,400
CFM_609,CRAFTING_GOLDEN,1600
CFM_609,DISENCHANT_NORMAL,100
CFM_609,DISENCHANT_GOLDEN,400
LOE_026,CRAFTING_NORMAL,100
LOE_026,CRAFTING_GOLDEN,800
LOE_026,DISENCHANT_NORMAL,20
LOE_026,DISENCHANT_GOLDEN,100
EX1_126,CRAFTING_NORMAL,40
EX1_126,CRAFTING_GOLDEN,400
EX1_126,DISENCHANT_NORMAL,5
EX1_126,DISENCHANT_GOLDEN,50
EX1_050,CRAFTING_NORMAL,100
EX1_050,CRAFTING_GOLDEN,800
EX1_050,DISENCHANT_NORMAL,20
EX1_050,DISENCHANT_GOLDEN,100
OG_179,CRAFTING_NORMAL,40
OG_179,CRAFTING_GOLDEN,400
OG_179,DISENCHANT_NORMAL,5
OG_179,DISENCHANT_GOLDEN,50
CFM_855,CRAFTING_NORMAL,400
CFM_855,CRAFTING_GOLDEN,1600
CFM_855,DISENCHANT_NORMAL,100
CFM_855,DISENCHANT_GOLDEN,400
EX1_008,CRAFTING_NORMAL,40
EX1_008,CRAFTING_GOLDEN,400
EX1_008,DISENCHANT_NORMAL,5
EX1_008,DISENCHANT_GOLDEN,50
AT_062,CRAFTING_NORMAL,100
AT_062,CRAFTING_GOLDEN,800
AT_062,DISENCHANT_NORMAL,20
AT_062,DISENCHANT_GOLDEN,100
EX1_538,CRAFTING_NORMAL,40
EX1_538,CRAFTING_GOLDEN,400
EX1_538,DISENCHANT_NORMAL,5
EX1_538,DISENCHANT_GOLDEN,50
OG_248,CRAFTING_NORMAL,40
OG_248,CRAFTING_GOLDEN,400
OG_248,DISENCHANT_NORMAL,5
OG_248,DISENCHANT_GOLDEN,50
OG_153,CRAFTING_NORMAL,40
OG_153,CRAFTING_GOLDEN,400
OG_153,DISENCHANT_NORMAL,5
OG_153,DISENCHANT_GOLDEN,50
EX1_410,CRAFTING_NORMAL,400
EX1_410,CRAFTING_GOLDEN,1600
EX1_410,DISENCHANT_NORMAL,100
EX1_410,DISENCHANT_GOLDEN,400
CFM_657,CRAFTING_NORMAL,40
CFM_657,CRAFTING_GOLDEN,400
CFM_657,DISENCHANT_NORMAL,5
CFM_657,DISENCHANT_GOLDEN,50
EX1_560,CRAFTING_NORMAL,1600
EX1_560,CRAFTING_GOLDEN,3200
EX1_560,DISENCHANT_NORMAL,400
EX1_560,DISENCHANT_GOLDEN,1600
NEW1_038,CRAFTING_NORMAL,1600
NEW1_038,CRAFTING_GOLDEN,3200
NEW1_038,DISENCHANT_NORMAL,400
NEW1_038,DISENCHANT_GOLDEN,1600
CFM_614,CRAFTING_NORMAL,40
CFM_614,CRAFTING_GOLDEN,400
CFM_614,DISENCHANT_NORMAL,5
CFM_614,DISENCHANT_GOLDEN,50
CFM_667,CRAFTING_NORMAL,100
CFM_667,CRAFTING_GOLDEN,800
CFM_667,DISENCHANT_NORMAL,20
CFM_667,DISENCHANT_GOLDEN,100
LOE_006,CRAFTING_NORMAL,40
LOE_006,CRAFTING_GOLDEN,400
LOE_006,DISENCHANT_NORMAL,5
LOE_006,DISENCHANT_GOLDEN,50
LOEA16_26,CRAFTING_NORMAL,1600
LOEA16_26,CRAFTING_GOLDEN,3200
LOEA16_26,DISENCHANT_NORMAL,400
LOEA16_26,DISENCHANT_GOLDEN,1600
GVG_107,CRAFTING_NORMAL,400
GVG_107,CRAFTING_GOLDEN,1600
GVG_107,DISENCHANT_NORMAL,100
GVG_107,DISENCHANT_GOLDEN,400
GVG_091,CRAFTING_NORMAL,100
GVG_091,CRAFTING_GOLDEN,800
GVG_091,DISENCHANT_NORMAL,20
GVG_091,DISENCHANT_GOLDEN,100
EX1_279,CRAFTING_NORMAL,400
EX1_279,CRAFTING_GOLDEN,1600
EX1_279,DISENCHANT_NORMAL,100
EX1_279,DISENCHANT_GOLDEN,400
EX1_110,CRAFTING_NORMAL,1600
EX1_110,CRAFTING_GOLDEN,3200
EX1_110,DISENCHANT_NORMAL,400
EX1_110,DISENCHANT_GOLDEN,1600
AT_023,CRAFTING_NORMAL,100
AT_023,CRAFTING_GOLDEN,800
AT_023,DISENCHANT_NORMAL,20
AT_023,DISENCHANT_GOLDEN,100
EX1_411,CRAFTING_NORMAL,400
EX1_411,CRAFTING_GOLDEN,1600
EX1_411,DISENCHANT_NORMAL,100
EX1_411,DISENCHANT_GOLDEN,400
GVG_093,CRAFTING_NORMAL,100
GVG_093,CRAFTING_GOLDEN,800
GVG_093,DISENCHANT_NORMAL,20
GVG_093,DISENCHANT_GOLDEN,100
AT_009,CRAFTING_NORMAL,1600
AT_009,CRAFTING_GOLDEN,3200
AT_009,DISENCHANT_NORMAL,400
AT_009,DISENCHANT_GOLDEN,1600
AT_133,CRAFTING_NORMAL,40
AT_133,CRAFTING_GOLDEN,400
AT_133,DISENCHANT_NORMAL,5
AT_133,DISENCHANT_GOLDEN,50
EX1_315,CRAFTING_NORMAL,40
EX1_315,CRAFTING_GOLDEN,400
EX1_315,DISENCHANT_NORMAL,5
EX1_315,DISENCHANT_GOLDEN,50
OG_293,CRAFTING_NORMAL,40
OG_293,CRAFTING_GOLDEN,400
OG_293,DISENCHANT_NORMAL,5
OG_293,DISENCHANT_GOLDEN,50
AT_067,CRAFTING_NORMAL,400
AT_067,CRAFTING_GOLDEN,1600
AT_067,DISENCHANT_NORMAL,100
AT_067,DISENCHANT_GOLDEN,400
NAX15_05,CRAFTING_NORMAL,1600
NAX15_05,CRAFTING_GOLDEN,3200
NAX15_05,DISENCHANT_NORMAL,400
NAX15_05,DISENCHANT_GOLDEN,1600
CFM_643,CRAFTING_NORMAL,1600
CFM_643,CRAFTING_GOLDEN,3200
CFM_643,DISENCHANT_NORMAL,400
CFM_643,DISENCHANT_GOLDEN,1600
LOEA16_23H,CRAFTING_NORMAL,1600
LOEA16_23H,CRAFTING_GOLDEN,3200
LOEA16_23H,DISENCHANT_NORMAL,400
LOEA16_23H,DISENCHANT_GOLDEN,1600
AT_038,CRAFTING_NORMAL,100
AT_038,CRAFTING_GOLDEN,800
AT_038,DISENCHANT_NORMAL,20
AT_038,DISENCHANT_GOLDEN,100
EX1_534t,CRAFTING_NORMAL,100
EX1_534t,CRAFTING_GOLDEN,800
EX1_534t,DISENCHANT_NORMAL,20
EX1_534t,DISENCHANT_GOLDEN,100
CFM_611,CRAFTING_NORMAL,100
CFM_611,CRAFTING_GOLDEN,800
CFM_611,DISENCHANT_NORMAL,20
CFM_611,DISENCHANT_GOLDEN,100
EX1_048,CRAFTING_NORMAL,40
EX1_048,CRAFTING_GOLDEN,400
EX1_048,DISENCHANT_NORMAL,5
EX1_048,DISENCHANT_GOLDEN,50
EX1_021,CRAFTING_NORMAL,40
EX1_021,CRAFTING_GOLDEN,400
EX1_021,DISENCHANT_NORMAL,5
EX1_021,DISENCHANT_GOLDEN,50
CFM_713,CRAFTING_NORMAL,40
CFM_713,CRAFTING_GOLDEN,400
CFM_713,DISENCHANT_NORMAL,5
CFM_713,DISENCHANT_GOLDEN,50
EX1_319,CRAFTING_NORMAL,40
EX1_319,CRAFTING_GOLDEN,400
EX1_319,DISENCHANT_NORMAL,5
EX1_319,DISENCHANT_GOLDEN,50
AT_007,CRAFTING_NORMAL,40
AT_007,CRAFTING_GOLDEN,400
AT_007,DISENCHANT_NORMAL,5
AT_007,DISENCHANT_GOLDEN,50
FP1_002,CRAFTING_NORMAL,40
FP1_002,CRAFTING_GOLDEN,400
FP1_002,DISENCHANT_NORMAL,5
FP1_002,DISENCHANT_GOLDEN,50
NAX9_02,CRAFTING_NORMAL,1600
NAX9_02,CRAFTING_GOLDEN,3200
NAX9_02,DISENCHANT_NORMAL,400
NAX9_02,DISENCHANT_GOLDEN,1600
EX1_004,CRAFTING_NORMAL,100
EX1_004,CRAFTING_GOLDEN,800
EX1_004,DISENCHANT_NORMAL,20
EX1_004,DISENCHANT_GOLDEN,100
LOE_050,CRAFTING_NORMAL,40
LOE_050,CRAFTING_GOLDEN,400
LOE_050,DISENCHANT_NORMAL,5
LOE_050,DISENCHANT_GOLDEN,50
KAR_037,CRAFTING_NORMAL,100
KAR_037,CRAFTING_GOLDEN,800
KAR_037,DISENCHANT_NORMAL,20
KAR_037,DISENCHANT_GOLDEN,100
AT_032,CRAFTING_NORMAL,100
AT_032,CRAFTING_GOLDEN,800
AT_032,DISENCHANT_NORMAL,20
AT_032,DISENCHANT_GOLDEN,100
EX1_402,CRAFTING_NORMAL,100
EX1_402,CRAFTING_GOLDEN,800
EX1_402,DISENCHANT_NORMAL,20
EX1_402,DISENCHANT_GOLDEN,100
AT_082,CRAFTING_NORMAL,40
AT_082,CRAFTING_GOLDEN,400
AT_082,DISENCHANT_NORMAL,5
AT_082,DISENCHANT_GOLDEN,50
EX1_409,CRAFTING_NORMAL,100
EX1_409,CRAFTING_GOLDEN,800
EX1_409,DISENCHANT_NORMAL,20
EX1_409,DISENCHANT_GOLDEN,100
AT_005,CRAFTING_NORMAL,100
AT_005,CRAFTING_GOLDEN,800
AT_005,DISENCHANT_NORMAL,20
AT_005,DISENCHANT_GOLDEN,100
AT_115,CRAFTING_NORMAL,100
AT_115,CRAFTING_GOLDEN,800
AT_115,DISENCHANT_NORMAL,20
AT_115,DISENCHANT_GOLDEN,100
AT_075,CRAFTING_NORMAL,40
AT_075,CRAFTING_GOLDEN,400
AT_075,DISENCHANT_NORMAL,5
